part_sku,location_id,date,quantity_on_hand,quantity_reserved,quantity_available,reorder_point,reorder_quantity,last_replenishment_date,days_since_replenishment
SKU_BRK_001,LOC_001,03-01-2022,162,20,142,26,123,12-12-2021,22
SKU_BRK_001,LOC_002,03-01-2022,153,10,143,26,232,17-12-2021,17
SKU_BRK_001,LOC_003,03-01-2022,177,21,156,26,271,14-12-2021,20
SKU_BRK_001,LOC_004,03-01-2022,190,26,164,26,297,08-12-2021,26
SKU_BRK_001,LOC_005,03-01-2022,203,20,183,26,191,02-01-2022,1
SKU_BRK_002,LOC_001,03-01-2022,136,8,128,7,69,07-12-2021,27
SKU_BRK_002,LOC_002,03-01-2022,96,9,87,7,146,24-12-2021,10
SKU_BRK_002,LOC_003,03-01-2022,124,7,117,7,133,14-12-2021,20
SKU_BRK_002,LOC_004,03-01-2022,81,5,76,7,87,29-12-2021,5
SKU_BRK_002,LOC_005,03-01-2022,132,7,125,7,71,13-12-2021,21
SKU_ENG_001,LOC_001,03-01-2022,146,20,126,39,186,31-12-2021,3
SKU_ENG_001,LOC_002,03-01-2022,127,11,116,39,202,30-12-2021,4
SKU_ENG_001,LOC_003,03-01-2022,130,18,112,39,271,28-12-2021,6
SKU_ENG_001,LOC_004,03-01-2022,142,11,131,39,100,07-12-2021,27
SKU_ENG_001,LOC_005,03-01-2022,198,24,174,39,123,27-12-2021,7
SKU_ENG_002,LOC_001,03-01-2022,173,17,156,26,240,06-12-2021,28
SKU_ENG_002,LOC_002,03-01-2022,185,23,162,26,105,28-12-2021,6
SKU_ENG_002,LOC_003,03-01-2022,153,20,133,26,129,25-12-2021,9
SKU_ENG_002,LOC_004,03-01-2022,183,15,168,26,234,22-12-2021,12
SKU_ENG_002,LOC_005,03-01-2022,170,16,154,26,162,01-01-2022,2
SKU_SUS_001,LOC_001,03-01-2022,96,7,89,5,69,12-12-2021,22
SKU_SUS_001,LOC_002,03-01-2022,149,18,131,5,81,19-12-2021,15
SKU_SUS_001,LOC_003,03-01-2022,104,10,94,5,123,16-12-2021,18
SKU_SUS_001,LOC_004,03-01-2022,97,13,84,5,102,07-12-2021,27
SKU_SUS_001,LOC_005,03-01-2022,81,11,70,5,72,11-12-2021,23
SKU_ELC_001,LOC_001,03-01-2022,184,19,165,25,269,20-12-2021,14
SKU_ELC_001,LOC_002,03-01-2022,135,16,119,25,237,23-12-2021,11
SKU_ELC_001,LOC_003,03-01-2022,123,13,110,25,138,02-01-2022,1
SKU_ELC_001,LOC_004,03-01-2022,137,17,120,25,299,24-12-2021,10
SKU_ELC_001,LOC_005,03-01-2022,149,16,133,25,185,25-12-2021,9
SKU_ELC_002,LOC_001,03-01-2022,190,18,172,24,213,06-12-2021,28
SKU_ELC_002,LOC_002,03-01-2022,174,19,155,24,176,24-12-2021,10
SKU_ELC_002,LOC_003,03-01-2022,180,22,158,24,252,15-12-2021,19
SKU_ELC_002,LOC_004,03-01-2022,169,21,148,24,282,10-12-2021,24
SKU_ELC_002,LOC_005,03-01-2022,180,15,165,24,176,12-12-2021,22
SKU_CLG_001,LOC_001,03-01-2022,145,8,137,20,166,17-12-2021,17
SKU_CLG_001,LOC_002,03-01-2022,137,19,118,20,121,15-12-2021,19
SKU_CLG_001,LOC_003,03-01-2022,121,17,104,20,183,18-12-2021,16
SKU_CLG_001,LOC_004,03-01-2022,164,24,140,20,238,26-12-2021,8
SKU_CLG_001,LOC_005,03-01-2022,144,12,132,20,222,31-12-2021,3
SKU_WPR_001,LOC_001,03-01-2022,152,21,131,16,259,26-12-2021,8
SKU_WPR_001,LOC_002,03-01-2022,130,8,122,16,269,18-12-2021,16
SKU_WPR_001,LOC_003,03-01-2022,176,25,151,16,192,01-01-2022,2
SKU_WPR_001,LOC_004,03-01-2022,189,27,162,16,165,26-12-2021,8
SKU_WPR_001,LOC_005,03-01-2022,199,25,174,16,231,24-12-2021,10
SKU_CLT_001,LOC_001,03-01-2022,92,6,86,3,89,13-12-2021,21
SKU_CLT_001,LOC_002,03-01-2022,95,5,90,3,140,20-12-2021,14
SKU_CLT_001,LOC_003,03-01-2022,124,8,116,3,104,06-12-2021,28
SKU_CLT_001,LOC_004,03-01-2022,132,14,118,3,113,22-12-2021,12
SKU_CLT_001,LOC_005,03-01-2022,96,7,89,3,145,10-12-2021,24
SKU_BRK_001,LOC_001,10-01-2022,177,11,166,26,216,27-12-2021,14
SKU_BRK_001,LOC_002,10-01-2022,116,14,102,26,175,09-01-2022,1
SKU_BRK_001,LOC_003,10-01-2022,210,18,192,26,247,17-12-2021,24
SKU_BRK_001,LOC_004,10-01-2022,141,10,131,26,166,25-12-2021,16
SKU_BRK_001,LOC_005,10-01-2022,192,18,174,26,224,25-12-2021,16
SKU_BRK_002,LOC_001,10-01-2022,103,12,91,7,110,31-12-2021,10
SKU_BRK_002,LOC_002,10-01-2022,129,12,117,7,69,22-12-2021,19
SKU_BRK_002,LOC_003,10-01-2022,144,20,124,7,113,21-12-2021,20
SKU_BRK_002,LOC_004,10-01-2022,82,9,73,7,140,28-12-2021,13
SKU_BRK_002,LOC_005,10-01-2022,133,15,118,7,140,09-01-2022,1
SKU_ENG_001,LOC_001,10-01-2022,111,9,102,39,271,25-12-2021,16
SKU_ENG_001,LOC_002,10-01-2022,192,21,171,39,190,06-01-2022,4
SKU_ENG_001,LOC_003,10-01-2022,151,17,134,39,141,08-01-2022,2
SKU_ENG_001,LOC_004,10-01-2022,191,17,174,39,250,07-01-2022,3
SKU_ENG_001,LOC_005,10-01-2022,148,13,135,39,276,19-12-2021,22
SKU_ENG_002,LOC_001,10-01-2022,152,10,142,26,244,27-12-2021,14
SKU_ENG_002,LOC_002,10-01-2022,166,21,145,26,194,28-12-2021,13
SKU_ENG_002,LOC_003,10-01-2022,188,27,161,26,131,08-01-2022,2
SKU_ENG_002,LOC_004,10-01-2022,174,23,151,26,160,25-12-2021,16
SKU_ENG_002,LOC_005,10-01-2022,185,24,161,26,180,01-01-2022,9
SKU_SUS_001,LOC_001,10-01-2022,154,17,137,5,56,27-12-2021,14
