transaction_id,date,part_sku,quantity_sold,location_id,quantity_in_hand,gst_rate,is_holiday,is_event,unit_price_after_gst,unit_cost,total_sales,quantity_in_hand_after_sales
TXN_20220101_0001,01-01-2022 10:17,SKU_BRK_001,1,LOC_001,171,0.28,FALSE,FALSE,1291,840,1291,170
TXN_20220101_0002,01-01-2022 11:17,SKU_ENG_001,1,LOC_003,141,0.18,FALSE,FALSE,254,183,254,140
TXN_20220101_0003,01-01-2022 11:23,SKU_WPR_001,1,LOC_004,191,0.18,FALSE,FALSE,427,282,427,190
TXN_20220101_0004,01-01-2022 12:32,SKU_ENG_001,1,LOC_001,140,0.18,FALSE,FALSE,260,183,260,139
TXN_20220101_0005,01-01-2022 20:21,SKU_ENG_001,2,LOC_001,139,0.18,FALSE,FALSE,262,183,524,137
TXN_20220102_0006,02-01-2022 11:25,SKU_BRK_001,1,LOC_002,134,0.28,FALSE,FALSE,1159,840,1159,133
TXN_20220102_0007,02-01-2022 12:11,SKU_WPR_001,1,LOC_003,167,0.18,FALSE,FALSE,396,282,396,166
TXN_20220103_0008,03-01-2022 08:14,SKU_ELC_001,1,LOC_004,128,0.28,FALSE,FALSE,5113,3392,5113,127
TXN_20220103_0009,03-01-2022 10:50,SKU_ELC_002,1,LOC_004,154,0.18,FALSE,FALSE,763,540,763,153
TXN_20220103_0010,03-01-2022 10:53,SKU_ENG_001,1,LOC_001,134,0.18,FALSE,FALSE,276,183,276,133
TXN_20220103_0011,03-01-2022 11:21,SKU_CLG_001,1,LOC_003,123,0.18,FALSE,FALSE,716,481,716,122
TXN_20220103_0012,03-01-2022 11:41,SKU_ELC_002,1,LOC_002,163,0.18,FALSE,FALSE,728,540,728,162
TXN_20220103_0013,03-01-2022 11:55,SKU_ENG_002,1,LOC_004,166,0.18,FALSE,FALSE,463,329,463,165
TXN_20220103_0014,03-01-2022 12:18,SKU_BRK_001,1,LOC_002,133,0.28,FALSE,FALSE,1159,840,1159,132
TXN_20220103_0015,03-01-2022 16:27,SKU_WPR_001,1,LOC_002,133,0.18,FALSE,FALSE,426,282,426,132
TXN_20220103_0016,03-01-2022 17:33,SKU_ELC_001,3,LOC_002,123,0.28,FALSE,FALSE,4619,3392,13857,120
